Temperature,DewPoint,WindDirection,Humidity,Pressure,WindSpeed
90,60,ENE,37,29.69,2
91,60,ENE,35,29.66,3
92,57,ENE,31,29.64,4
92,55,E,28,29.63,7
90,55,E,31,29.64,8
88,58,E,36,29.66,7
85,58,ESE,40,29.69,6
84,60,ESE,45,29.72,7
82,62,SE,50,29.75,7
81,64,SE,58,29.77,7
79,66,SE,64,29.78,7
78,68,SE,72,29.77,6
77,69,SE,77,29.76,5
76,70,SSE,84,29.75,5
75,71,SSE,89,29.75,4
74,71,SSE,92,29.75,4
73,71,S,94,29.76,4
73,71,S,93,29.77,3
75,72,SSW,90,29.79,4
78,72,SW,82,29.8,5
81,71,W,70,29.79,5
84,67,NNW,56,29.77,4
87,64,NE,47,29.74,5
90,61,ENE,39,29.71,5
